"No.","Time","Source","Destination","Protocol","Length","Info"
"4991","12.842230","34.237.73.95","10.0.0.159","TCP","60","443  >  51102 [ACK] Seq=289 Ack=268 Win=398 Len=0"
"5058","13.005710","10.0.0.159","192.229.211.108","TCP","54","[TCP Retransmission] 50497  >  80 [FIN, ACK] Seq=1 Ack=1 Win=510 Len=0"
"5226","13.263970","10.0.0.159","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"5246","13.344337","10.0.0.89","10.0.0.159","SSDP","376","HTTP/1.1 200 OK "
"5352","13.576495","10.0.0.159","239.255.255.250","SSDP","143","M-SEARCH * HTTP/1.1 "
"5353","13.581387","10.0.0.159","10.0.0.1","TCP","66","55807  >  49152 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"5354","13.585878","10.0.0.1","10.0.0.159","TCP","66","49152  >  55807 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"5355","13.586088","10.0.0.159","10.0.0.1","TCP","54","55807  >  49152 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"5356","13.586246","10.0.0.159","10.0.0.1","HTTP","260","GET /IGDdevicedesc_brlan0.xml HTTP/1.1 "
"5358","13.589898","10.0.0.1","10.0.0.159","TCP","60","49152  >  55807 [ACK] Seq=1 Ack=207 Win=64128 Len=0"
"5361","13.593044","10.0.0.1","10.0.0.159","TCP","326","49152  >  55807 [PSH, ACK] Seq=1 Ack=207 Win=64128 Len=272 [TCP segment of a reassembled PDU]"
"5362","13.595216","10.0.0.1","10.0.0.159","TCP","1514","49152  >  55807 [ACK] Seq=273 Ack=207 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"5363","13.595216","10.0.0.1","10.0.0.159","TCP","1514","49152  >  55807 [PSH, ACK] Seq=1733 Ack=207 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"5364","13.595216","10.0.0.1","10.0.0.159","HTTP/XML","105","HTTP/1.1 200 OK "
"5365","13.595310","10.0.0.159","10.0.0.1","TCP","54","55807  >  49152 [ACK] Seq=207 Ack=3245 Win=65536 Len=0"
"5378","13.607969","10.0.0.159","10.0.0.1","TCP","54","55807  >  49152 [FIN, ACK] Seq=207 Ack=3245 Win=65536 Len=0"
"5379","13.613112","10.0.0.1","10.0.0.159","TCP","60","49152  >  55807 [ACK] Seq=3245 Ack=208 Win=64128 Len=0"
"5381","13.619469","10.0.0.159","10.0.0.89","TCP","66","55808  >  9080 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"5388","13.652294","10.0.0.89","10.0.0.159","TCP","66","9080  >  55808 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 SACK_PERM WS=64"
"5389","13.652382","10.0.0.159","10.0.0.89","TCP","54","55808  >  9080 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"5392","13.652506","10.0.0.159","10.0.0.89","HTTP","236","GET / HTTP/1.1 "
"5394","13.656837","10.0.0.89","10.0.0.159","TCP","60","9080  >  55808 [ACK] Seq=1 Ack=183 Win=87616 Len=0"
"5395","13.657033","10.0.0.89","10.0.0.159","TCP","198","9080  >  55808 [PSH, ACK] Seq=1 Ack=183 Win=87616 Len=144 [TCP segment of a reassembled PDU]"
"5396","13.657469","10.0.0.89","10.0.0.159","HTTP","63","HTTP/1.1 200 OK "
"5397","13.657568","10.0.0.159","10.0.0.89","TCP","54","55808  >  9080 [ACK] Seq=183 Ack=155 Win=65536 Len=0"
"5398","13.658177","10.0.0.159","10.0.0.89","TCP","54","55808  >  9080 [FIN, ACK] Seq=183 Ack=155 Win=65536 Len=0"
"5399","13.660831","10.0.0.89","10.0.0.159","TCP","60","9080  >  55808 [ACK] Seq=155 Ack=184 Win=87616 Len=0"
"5429","13.721228","10.0.0.1","10.0.0.159","UDP","477","56027  >  65355 Len=435"
"5439","13.784963","10.0.0.89","10.0.0.159","UDP","753","37142  >  65355 Len=711"
"5612","14.124574","10.0.0.159","13.89.179.9","TCP","66","55809  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"5626","14.190910","13.89.179.9","10.0.0.159","TCP","66","443  >  55809 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"5627","14.191279","10.0.0.159","13.89.179.9","TCP","54","55809  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"5628","14.192505","10.0.0.159","13.89.179.9","TLSv1.2","270","Client Hello (SNI=browser.pipe.aria.microsoft.com)"
"5646","14.207079","10.0.0.159","192.229.211.108","TCP","54","[TCP Retransmission] 50497  >  80 [FIN, ACK] Seq=1 Ack=1 Win=510 Len=0"
"5671","14.251302","13.89.179.9","10.0.0.159","TCP","60","443  >  55809 [ACK] Seq=1 Ack=217 Win=4194304 Len=0"
"5672","14.252412","13.89.179.9","10.0.0.159","TCP","1514","443  >  55809 [ACK] Seq=1 Ack=217 Win=4194304 Len=1460 [TCP segment of a reassembled PDU]"
"5673","14.252490","10.0.0.159","13.89.179.9","TCP","54","55809  >  443 [ACK] Seq=217 Ack=1461 Win=262144 Len=0"
"5674","14.253131","13.89.179.9","10.0.0.159","TCP","1514","443  >  55809 [ACK] Seq=1461 Ack=217 Win=4194304 Len=1460 [TCP segment of a reassembled PDU]"
"5675","14.253131","13.89.179.9","10.0.0.159","TCP","1514","443  >  55809 [ACK] Seq=2921 Ack=217 Win=4194304 Len=1460 [TCP segment of a reassembled PDU]"
"5676","14.253131","13.89.179.9","10.0.0.159","TCP","1514","443  >  55809 [ACK] Seq=4381 Ack=217 Win=4194304 Len=1460 [TCP segment of a reassembled PDU]"
"5677","14.253131","13.89.179.9","10.0.0.159","TLSv1.2","466","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"5678","14.253216","10.0.0.159","13.89.179.9","TCP","54","55809  >  443 [ACK] Seq=217 Ack=6253 Win=262144 Len=0"
"5679","14.261459","10.0.0.159","13.89.179.9","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"5698","14.265355","10.0.0.159","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"5710","14.324267","13.89.179.9","10.0.0.159","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"5711","14.324337","10.0.0.159","13.89.179.9","TCP","54","55809  >  443 [ACK] Seq=375 Ack=6304 Win=261888 Len=0"
"5712","14.324686","13.89.179.9","10.0.0.159","TLSv1.2","123","Application Data"
"5713","14.324757","10.0.0.159","13.89.179.9","TCP","54","55809  >  443 [ACK] Seq=375 Ack=6373 Win=261888 Len=0"
"5714","14.325059","10.0.0.159","13.89.179.9","TLSv1.2","141","Application Data"
"5715","14.325133","10.0.0.159","13.89.179.9","TLSv1.2","92","Application Data"
"5716","14.325199","10.0.0.159","13.89.179.9","TLSv1.2","513","Application Data"
"5721","14.325507","10.0.0.159","13.89.179.9","TCP","1494","55809  >  443 [ACK] Seq=959 Ack=6373 Win=261888 Len=1440 [TCP segment of a reassembled PDU]"
"5722","14.325507","10.0.0.159","13.89.179.9","TLSv1.2","849","Application Data"
"5725","14.325749","10.0.0.159","13.89.179.9","TLSv1.2","92","Application Data"
"5743","14.367280","10.0.0.89","10.0.0.159","SSDP","376","HTTP/1.1 200 OK "
"5746","14.397264","13.89.179.9","10.0.0.159","TCP","60","443  >  55809 [ACK] Seq=6373 Ack=959 Win=4193536 Len=0"
"5747","14.397264","13.89.179.9","10.0.0.159","TCP","60","443  >  55809 [ACK] Seq=6373 Ack=3232 Win=4194560 Len=0"
"5748","14.397264","13.89.179.9","10.0.0.159","TLSv1.2","92","Application Data"
"5749","14.397675","10.0.0.159","13.89.179.9","TCP","54","55809  >  443 [ACK] Seq=3232 Ack=6411 Win=261888 Len=0"
"5765","14.453496","13.89.179.9","10.0.0.159","TLSv1.2","346","Application Data"
"5766","14.454070","10.0.0.159","13.89.179.9","TCP","54","55809  >  443 [ACK] Seq=3232 Ack=6703 Win=261632 Len=0"
"6108","15.721122","10.0.0.159","204.79.197.222","TCP","66","55818  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"6115","15.748014","204.79.197.222","10.0.0.159","TCP","66","443  >  55818 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"6116","15.748128","10.0.0.159","204.79.197.222","TCP","54","55818  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"6117","15.748503","10.0.0.159","204.79.197.222","TLSv1.2","560","Client Hello (SNI=fp.msedge.net)"
"6147","15.770148","204.79.197.222","10.0.0.159","TCP","60","443  >  55818 [ACK] Seq=1 Ack=507 Win=4194048 Len=0"
"6148","15.770623","204.79.197.222","10.0.0.159","TCP","1514","443  >  55818 [ACK] Seq=1 Ack=507 Win=4194048 Len=1460 [TCP segment of a reassembled PDU]"
"6149","15.770678","10.0.0.159","204.79.197.222","TCP","54","55818  >  443 [ACK] Seq=507 Ack=1461 Win=262144 Len=0"
"6150","15.771537","204.79.197.222","10.0.0.159","TCP","1514","443  >  55818 [ACK] Seq=1461 Ack=507 Win=4194048 Len=1460 [TCP segment of a reassembled PDU]"
"6151","15.771537","204.79.197.222","10.0.0.159","TCP","1514","443  >  55818 [ACK] Seq=2921 Ack=507 Win=4194048 Len=1460 [TCP segment of a reassembled PDU]"
"6152","15.771622","10.0.0.159","204.79.197.222","TCP","54","55818  >  443 [ACK] Seq=507 Ack=4381 Win=262144 Len=0"
"6153","15.771956","204.79.197.222","10.0.0.159","TCP","1514","443  >  55818 [ACK] Seq=4381 Ack=507 Win=4194048 Len=1460 [TCP segment of a reassembled PDU]"
"6154","15.771999","10.0.0.159","204.79.197.222","TCP","54","55818  >  443 [ACK] Seq=507 Ack=5841 Win=262144 Len=0"
"6155","15.772091","204.79.197.222","10.0.0.159","TLSv1.2","419","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"6156","15.772126","10.0.0.159","204.79.197.222","TCP","54","55818  >  443 [ACK] Seq=507 Ack=6206 Win=261632 Len=0"
"6158","15.778376","10.0.0.159","204.79.197.222","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"6159","15.778986","10.0.0.159","204.79.197.222","TLSv1.2","141","Application Data"
"6160","15.779096","10.0.0.159","204.79.197.222","TLSv1.2","373","Application Data"
"6169","15.800368","204.79.197.222","10.0.0.159","TCP","60","443  >  55818 [ACK] Seq=6206 Ack=1071 Win=4193280 Len=0"
"6170","15.802886","204.79.197.222","10.0.0.159","TLSv1.2","396","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"6171","15.802886","204.79.197.222","10.0.0.159","TLSv1.2","123","Application Data"
"6172","15.803087","10.0.0.159","204.79.197.222","TCP","54","55818  >  443 [ACK] Seq=1071 Ack=6617 Win=261120 Len=0"
"6173","15.803666","10.0.0.159","204.79.197.222","TLSv1.2","92","Application Data"
"6177","15.813274","204.79.197.222","10.0.0.159","TLSv1.2","1514","Application Data"
"6178","15.813274","204.79.197.222","10.0.0.159","TCP","1514","443  >  55818 [ACK] Seq=8077 Ack=1071 Win=4193280 Len=1460 [TCP segment of a reassembled PDU]"
"6179","15.813274","204.79.197.222","10.0.0.159","TLSv1.2","1204","Application Data"
"6180","15.813274","204.79.197.222","10.0.0.159","TLSv1.2","140","Application Data"
"6181","15.813274","204.79.197.222","10.0.0.159","TCP","1514","443  >  55818 [ACK] Seq=10773 Ack=1071 Win=4193280 Len=1460 [TCP segment of a reassembled PDU]"
"6182","15.813443","10.0.0.159","204.79.197.222","TCP","54","55818  >  443 [ACK] Seq=1109 Ack=12233 Win=262144 Len=0"
"6183","15.818051","204.79.197.222","10.0.0.159","TCP","1514","443  >  55818 [ACK] Seq=12233 Ack=1071 Win=4193280 Len=1460 [TCP segment of a reassembled PDU]"
"6184","15.818051","204.79.197.222","10.0.0.159","TLSv1.2","1268","Application Data"
"6185","15.818051","204.79.197.222","10.0.0.159","TCP","1514","443  >  55818 [ACK] Seq=14907 Ack=1071 Win=4193280 Len=1460 [TCP segment of a reassembled PDU]"
"6186","15.818051","204.79.197.222","10.0.0.159","TCP","1514","443  >  55818 [ACK] Seq=16367 Ack=1071 Win=4193280 Len=1460 [TCP segment of a reassembled PDU]"
"6187","15.818051","204.79.197.222","10.0.0.159","TLSv1.2","1268","Application Data"
"6188","15.818256","10.0.0.159","204.79.197.222","TCP","54","55818  >  443 [ACK] Seq=1109 Ack=19041 Win=262144 Len=0"
"6189","15.821594","204.79.197.222","10.0.0.159","TCP","1514","443  >  55818 [ACK] Seq=19041 Ack=1071 Win=4193280 Len=1460 [TCP segment of a reassembled PDU]"
"6190","15.821594","204.79.197.222","10.0.0.159","TCP","1514","443  >  55818 [ACK] Seq=20501 Ack=1071 Win=4193280 Len=1460 [TCP segment of a reassembled PDU]"
"6191","15.821594","204.79.197.222","10.0.0.159","TLSv1.2","1268","Application Data"
"6192","15.821594","204.79.197.222","10.0.0.159","TCP","1514","443  >  55818 [ACK] Seq=23175 Ack=1071 Win=4193280 Len=1460 [TCP segment of a reassembled PDU]"
"6193","15.821594","204.79.197.222","10.0.0.159","TCP","1514","443  >  55818 [ACK] Seq=24635 Ack=1071 Win=4193280 Len=1460 [TCP segment of a reassembled PDU]"
"6194","15.821594","204.79.197.222","10.0.0.159","TLSv1.2","654","Application Data"
"6195","15.821594","204.79.197.222","10.0.0.159","TLSv1.2","92","Application Data"
"6196","15.821735","10.0.0.159","204.79.197.222","TCP","54","55818  >  443 [ACK] Seq=1109 Ack=26733 Win=262144 Len=0"
"6200","15.847379","204.79.197.222","10.0.0.159","TCP","60","443  >  55818 [ACK] Seq=26733 Ack=1109 Win=4193280 Len=0"
"6471","16.576434","10.0.0.159","239.255.255.250","SSDP","143","M-SEARCH * HTTP/1.1 "
"6473","16.586102","10.0.0.1","10.0.0.159","UDP","477","38175  >  65355 Len=435"
"6484","16.608891","10.0.0.159","192.229.211.108","TCP","54","[TCP Retransmission] 50497  >  80 [FIN, ACK] Seq=1 Ack=1 Win=510 Len=0"
"6492","16.647089","10.0.0.89","10.0.0.159","UDP","753","42720  >  65355 Len=711"
"7113","18.264663","10.0.0.159","75.75.75.75","DNS","91","Standard query 0x0ee6 AAAA signaler-pa.clients6.google.com"
"7116","18.265256","10.0.0.159","75.75.75.75","DNS","91","Standard query 0xcc9f A signaler-pa.clients6.google.com"
"7117","18.265687","10.0.0.159","75.75.75.75","DNS","91","Standard query 0x08d8 HTTPS signaler-pa.clients6.google.com"
"7129","18.291059","75.75.75.75","10.0.0.159","DNS","119","Standard query response 0x0ee6 AAAA signaler-pa.clients6.google.com AAAA 2607:f8b0:4006:824::200a"
"7136","18.299286","75.75.75.75","10.0.0.159","DNS","141","Standard query response 0x08d8 HTTPS signaler-pa.clients6.google.com SOA ns1.google.com"
"7139","18.303596","75.75.75.75","10.0.0.159","DNS","107","Standard query response 0xcc9f A signaler-pa.clients6.google.com A 142.250.80.106"
"7193","18.376491","10.0.0.159","204.79.197.222","TLSv1.2","720","Application Data"
"7210","18.406171","204.79.197.222","10.0.0.159","TCP","60","443  >  55818 [ACK] Seq=26733 Ack=1775 Win=4194560 Len=0"
"7211","18.406171","204.79.197.222","10.0.0.159","TLSv1.2","239","Application Data"
"7212","18.406171","204.79.197.222","10.0.0.159","TLSv1.2","92","Application Data"
"7213","18.406565","10.0.0.159","204.79.197.222","TCP","54","55818  >  443 [ACK] Seq=1775 Ack=26956 Win=261888 Len=0"
"7398","18.918456","10.0.0.159","18.164.124.4","TCP","66","55866  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"7400","18.937286","18.164.124.4","10.0.0.159","TCP","66","443  >  55866 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 SACK_PERM WS=512"
"7401","18.937488","10.0.0.159","18.164.124.4","TCP","54","55866  >  443 [ACK] Seq=1 Ack=1 Win=66048 Len=0"
"7418","18.953526","10.0.0.159","18.164.124.4","TLSv1.2","302","Client Hello (SNI=beam.scs.splunk.com)"
"7435","18.979008","18.164.124.4","10.0.0.159","TCP","60","443  >  55866 [ACK] Seq=1 Ack=249 Win=67072 Len=0"
"7436","18.979965","18.164.124.4","10.0.0.159","TLSv1.2","1494","Server Hello"
"7437","18.979965","18.164.124.4","10.0.0.159","TCP","1494","443  >  55866 [PSH, ACK] Seq=1441 Ack=249 Win=67072 Len=1440 [TCP segment of a reassembled PDU]"
"7438","18.980013","10.0.0.159","18.164.124.4","TCP","54","55866  >  443 [ACK] Seq=249 Ack=2881 Win=66048 Len=0"
"7439","18.980984","18.164.124.4","10.0.0.159","TCP","1494","443  >  55866 [ACK] Seq=2881 Ack=249 Win=67072 Len=1440 [TCP segment of a reassembled PDU]"
"7440","18.980984","18.164.124.4","10.0.0.159","TLSv1.2","1151","Certificate, Server Key Exchange, Server Hello Done"
"7441","18.981052","10.0.0.159","18.164.124.4","TCP","54","55866  >  443 [ACK] Seq=249 Ack=5418 Win=66048 Len=0"
"7443","18.983686","10.0.0.159","18.164.124.4","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"7453","19.006494","18.164.124.4","10.0.0.159","TCP","60","443  >  55866 [ACK] Seq=5418 Ack=375 Win=67072 Len=0"
"7454","19.006494","18.164.124.4","10.0.0.159","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"7456","19.007517","10.0.0.159","18.164.124.4","TLSv1.2","344","Application Data"
"7483","19.045174","18.164.124.4","10.0.0.159","TLSv1.2","746","Application Data"
"7484","19.046171","10.0.0.159","18.164.124.4","TCP","54","55866  >  443 [FIN, ACK] Seq=665 Ack=6161 Win=65280 Len=0"
"7503","19.078351","18.164.124.4","10.0.0.159","TCP","60","443  >  55866 [FIN, ACK] Seq=6161 Ack=666 Win=68096 Len=0"
"7504","19.078453","10.0.0.159","18.164.124.4","TCP","54","55866  >  443 [ACK] Seq=666 Ack=6162 Win=65280 Len=0"
"7682","19.577346","10.0.0.159","239.255.255.250","SSDP","143","M-SEARCH * HTTP/1.1 "
"7684","19.582569","10.0.0.1","10.0.0.159","UDP","477","35930  >  65355 Len=435"
"7746","19.792252","10.0.0.89","10.0.0.159","UDP","753","32809  >  65355 Len=711"
"8138","21.412042","10.0.0.159","192.229.211.108","TCP","54","[TCP Retransmission] 50497  >  80 [FIN, ACK] Seq=1 Ack=1 Win=510 Len=0"
"8437","23.112128","10.0.0.159","75.75.75.75","DNS","75","Standard query 0x4397 AAAA play.google.com"
"8438","23.112552","10.0.0.159","75.75.75.75","DNS","75","Standard query 0x296c A play.google.com"
"8439","23.112833","10.0.0.159","75.75.75.75","DNS","75","Standard query 0x4be7 HTTPS play.google.com"
"8473","23.149520","75.75.75.75","10.0.0.159","DNS","91","Standard query response 0x296c A play.google.com A 142.250.80.46"
"8474","23.150464","75.75.75.75","10.0.0.159","DNS","103","Standard query response 0x4397 AAAA play.google.com AAAA 2607:f8b0:4006:820::200e"
"8477","23.152154","75.75.75.75","10.0.0.159","DNS","125","Standard query response 0x4be7 HTTPS play.google.com SOA ns1.google.com"
"8628","23.594907","10.0.0.159","224.0.0.251","MDNS","119","Standard query 0x0000 PTR _apple-mobdev._tcp.local, ""QM"" question PTR 4d2b0580._sub._apple-mobdev2._tcp.local, ""QM"" question"
